Address,Amount,Bonus
0x03e479454302c33a6c2f2462a7e76fff1ef37670,"107,842",0%
0xe07e76714497eb8c3bb237ee5002c710e392b5a9,"107,842",0%
0xc99320c019e9389f58de62b2f5c27a0bbe946977,"107,842",0%
0x3f3c764a86480a335d596db6da51e2ec5f06738c,"107,842",0%
0xbf98949e0bdfe8a7d36af5dd8cd2c3d4c659ba62,"107,842",0%
0x7723e822bcdb9bfa3e21b11f1c58d3d5c35022b1,"107,842",0%
0x4ba001e7c457304cd00f58e9f847745b1ad5939a,"107,842",0%
0x8b7d4a0726e1f5b885baf896534890b5915f51a9,"107,842",0%
0x1fbfb71d8139239a2c4dc0414420d352791d9e5a,"107,842",0%
0x19cea019ed86487e37b40368685830f902a7115f,"107,842",0%
0xbd9848f839b74a8819d514a6a72de22bbaf6f956,"107,842",0%
0x4a602c12533b3fea2da2fec113ecde2ad944809a,"107,842",0%
0x8c68c973c4a61027d7d8ecf6f5ed11965dd059db,"107,842",0%
0xbe73a224751c1f70adc04389fdc8ed2689c103f0,"107,842",0%
0xc83414abb6655320232faa65ea72663dfd7198ec,"107,842",0%
0xf0c1ccf9deeaa728aa8f173ffce32d501b3dc4fe,"107,842",0%
0x7915b7afee448b4fec7be178e971b5ab7ef97fff,"107,842",0%
0xa19af4e96f5debc9c66c5559c3d9b2a0e98f6b9d,"107,842",0%
0x3bf06927c6b9a276578dbf67f6eccbb0066cdb5f,"107,842",0%
0x1a90c41b19aead915de75a4879faf0601f540509,"107,842",0%
0xc7495093fe6056716408fbe926e839dc6f36a99c,"101,936",0%
0x97da20dc2bd46174da79d71a385b7248527fbee6,"101,865",0%
0xfb5a960c97c6e830b4ba39f5db8b57c6765c068b,"97,058",0%
0x56a180fb7e80156c113f190a7f18ad1c1f884bdb,"97,058",0&
0x011ebbbe4d266d17f99b736eb12046fb89056171,"97,058",0%
0x83293df4d44c13118f422a2b4355ed352d09bf12,"93,427",0%
0x5a5811b658e82f44eebbb096e6ae9eae6ce11606,"88,359",0%
0xebcb550fdab0a451504c14378919bb757a64f1e0,"85,721",0%
0xb4a1054aef446e46e0c763b0093fcf66e1b906a4,"81,532",0%
0x8bc7f70fabf0f2099773dcbb15d7424f80c89235,"80,882",0%
0xb342380aa131c13df4a6eaa0062e4f835cf10df7,"80,882",0%
0xc01a5daafdf53e29a90f0c9637eb086ef8099069,"80,882",0%
0x61870db07a02cd4dd8d2f99852164a264389bc30,"80,882",0%
0x73e102f00feca8ef1896af2bb9593bbd9164085e,"80,882",0%
0xbb70fa418ead030184a47837942a0603764b7e8b,"80,882",0%
0x058f77086687995ff9c7a57ae57433bdc157fc3e,"75,489",0%
0x22d306aea418b8c7c6d4e1c1dcf45c9b0a10c674,"71,230",0%
0xeaae76d11bc67ac500520520e692447ff8015a7d,"70,097",0%
0xee38297ed7c0e96849ec8581128033f99f48650d,"68,000",0%
0x89a0f91741de5c8c103e32dad5d58ee02dad5ca5,"65,448",0%
0x2024ab5654cf69ea95def76e0d4c9361d320296e,"65,237",0%
0xaa4cef5a77879ab2a9992211991d65a87a6ce1c9,"64,705",0%
0xb0430c53ece609427894e02c621d9d37ac16c1f7,"63,529",0%
0xcf7f8381b26dfa7f716bf5886c68684e158a7712,"61,608",0%
0xcaf10301d137ad89afb66759545def8b15098f1c,"59,313",0%
0x361cce7f8cd8a1c992e3191d53fa08dc5ecd6a88,"58,412",0%
0x58ebae6bd4783d4b54937d5d1a5fc8499823224f,"58,250",0%
0x432426de3bcbfb8dee4d9334861c3eae5651c751,"55,747",0%
0xc43e970eee228aebb50845a2d0eb5ec813c0df1e,"55,555",0%
0x6e52d3dd45e8cc9a5f3e6185a7e03d9c7fea064e,"54,858",0%
0x1c708f9d1d39841a49a38bd81c4e36067af1a2ab,"53,921",0%
0x3fb516b2c67cac5352468104e8ea6fc6d91310fb,"53,921",0%
0x9692ae1b08a1abd8efbc31a287f037669a2a3090,"53,921",0%
0x1cd72d8c5955af057a7eb0c2beb538fc89769305,"53,921",0%
0x3578ef4e9d0678a9466bcc4c7e0691d87fa805ce,"53,921",0%
0x14d27f52a7f344e9931364999a71727df8cffd91,"53,921",0%
0xb1accb7985e2b28c892d100e03849b9e066df454,"53,921",0%
0x667746eee91ac8aa6e8f86179f6cfca181955680,"53,921",0%
0x491618aa5b3b6a9e691610310d47bf34852dcb41,"51,315",0%
0x77f40ac4344815fd5c16a5b8153952172b7f6eb6,"49,999",0%
0xe216bfa00e893379fa3cd085191945a38fd1838c,"48,529",0%
0xf30aaba38c7778209bc598077d4ddfc707f13bed,"43,137",0%
0x927bc27027d3caf8a5b5628876748c5aa8c8c3db,"42,058",0%
0xb4c4faf34bdf929a4be5c670d0a01f60367afd46,"41,940",0%
0xa17483e6ffce0ec2164aa3fa44136d26b07d2142,"41,658",0%
0x87e94b61e0d7d64639899ed276a0796655285fba,"41,519",0%
0x29ed964bff9b9eae368ff6a2705c2bc1672e228c,"41,489",0%
0x7c68f66c70836c9745ac42a5ab2a5c3f8f3d3294,"41,120",0%
0x7143854a113927c5d506f8844d864f685dabf92f,"39,842",0%
0x8f6279e6cba5189094a2abdad64caf2388922f6e,"38,354",0%
0x0aa4c58a6018d4eda919fc8f6609741197d85c46,"34,594",0%
0x82e1d27760267f7465d599fb46ab68f8c757be05,"33,971",0%
0xe013f7c041edeccd853c141923ef3526a55a91f5,"32,353",0%
0xa691240845331b8b6855064f670d85038d1d4830,"31,378",0%
0xc23f902e483345abd31f07b9104e3bcd5b3533a6,"30,696",0%
0x56c1027e8d06b1a1b00c64e4bf6ea1cf46eca23f,"30,196",0%
0xd90ab13d8c3f5b3430d2697b4ae28767e619b74d,"29,657",0%
0xf197aef11736d840fdbb3486d8705e2ac98ed0ec,"28,723",0%
0x49dc14dd851b6eae8d685715e12a06cc1bfc5d8d,"26,961",0%
0x1fe30b88676dad9da0584f06fbbd2edafc105194,"26,961",0%
0x6d1d67587d5e0a78b31b5472ac0e0a2786ebda41,"26,961",0%
0x9fa2ad6eb6a55697fd90f3b908f7cacd5ab2f454,"26,961",0%
0x295a1b716712b5de1af2656e1f62f17e89cf18b9,"26,961",0%
0xebe542149af8fc42de564120ab8ddedf227df1bf,"26,961",0%
0x8b5ec6d05d1abe09489fc87bce3aef3e2f08c9df,"26,961",0%
0xc0d74ebbf331ec055955b7db94e44cc2b3bea439,"26,961",0%
0x5be3b2b2b29f0d95646260fc7980e07444007e2c,"26,961",0%
0xfc313997e5259770b3e79a2089944387872cfc9a,"26,780",0%
0xbde25aad92abc50242267d759b804ce952536c41,"26,328",0%
